Opportunity_ID;Customer Name;Customer_Segment;Sector;Country;Customer_Status;Annual_Speed;Length_Of_Sales_Cycle;Product_Name;Highest_Contract_Level;Compelling_Event;RFP;Sales_Engineer_Engaged;Services_Included;Customer_Meeting;License;Contacts;Opportunity_Value
TEC64151GMBH;Technik und Systeme GmbH;Fortune500;Construction;Germany;current customer;Huge;1 Year;Security;C-Level;No;Yes;Yes;Yes;49;190;168;168000
A.I78294GMBH;A.I.T. GmbH;Fortune500;Finserv;Japan;prospect;Large;18 Months;Security;C-Level;No;No;Yes;No;19;136;131;40000
PIL15476CKAR;PILAR am Neckar;SMB;Consumer Product;India;prospect;Medium;1 Month;Identity Server;Individual Contributor Level;Yes;No;Yes;No;21;53;12;36000
SOC96017E SA;Societe Chimique Picardie SA;SMB;Goods;France;prospect;Big;6 Months;ERP;C-Level;No;No;Yes;Yes;31;129;145;19000
GEN45036GMBH;General Distributors GmbH;SMB;Construction;India;prospect;Huge;2 Years;Portal;Manager Level;No;No;No;Yes;26;143;54;23000
GEN33129INC.;General Distributors Inc.;SMB;High tech;UK;current customer;Medium;18 Months;CRM;Individual Contributor Level;Yes;Yes;Yes;Yes;15;70;30;19000
C.A19804TEMS;C.A.S. Computer Application Systems;Enterprise;High tech;Brazil;prior customer;Large;18 Months;Web Server;C-Level;No;No;No;No;19;84;59;69000
AIR14610UCTS;Aircraft Products;Fortune500;High tech;Japan;current customer;Large;1 Year;ERP;C-Level;Yes;No;No;No;20;528;91;117000
DEU79483R AG;Deutsche Computer AG;Enterprise;Consumer Product;Japan;prior customer;Medium;1 Month;Identity Server;Manager Level;No;No;No;Yes;11;198;44;36000
TAL77142GMBH;TALPA GmbH;SMB;High tech;UK;prior customer;Big;6 Months;Identity Server;Individual Contributor Level;No;No;Yes;Yes;7;117;136;24000
COM72138INC.;CompSmart Inc.;SMB;Construction;Germany;prior customer;Small;18 Months;Database;Manager Level;Yes;No;No;Yes;28;81;140;46000
J &73750 & P;J & P;SMB;Manufacturing;China;prior customer;Small;6 Months;Application Server;Individual Contributor Level;No;No;Yes;No;27;24;38;27000
MOT29385ORTS;Motor Sports;Enterprise;Retail;Japan;current customer;Medium;2 Years;CRM;Manager Level;No;No;Yes;Yes;8;224;108;40000
CAR43817CORP;Caribbean Computer Supply Corp;SMB;High tech;Germany;prospect;Huge;2 Years;Application Server;Manager Level;No;Yes;Yes;Yes;19;44;152;21000
CAR59918GMBH;Carbor GmbH;Enterprise;Retail;France;prior customer;Large;1 Year;Identity Server;C-Level;Yes;Yes;Yes;No;23;229;73;43000
SAP68084A AG;SAPSOTA AG;Enterprise;Goods;Japan;prior customer;Small;6 Months;Identity Server;Manager Level;No;No;Yes;Yes;26;244;31;60000
SUD13397GMBH;SudaTech GmbH;Enterprise;Goods;India;prospect;Small;1 Month;Analytics;Individual Contributor Level;Yes;Yes;No;Yes;21;128;110;48000
ETE98619LIEN;Etelko Textilien;Fortune500;High tech;China;prospect;Small;6 Months;Identity Server;C-Level;Yes;No;No;Yes;20;110;72;45000
SOF80411GMBH;Software Systeme GmbH;SMB;Healthcare;Russia;prospect;Medium;1 Year;Analytics;Manager Level;No;No;Yes;No;17;96;128;22000
COM26905. AG;COMPU Tech. AG;SMB;Manufacturing;Russia;prospect;Medium;6 Months;Analytics;Individual Contributor Level;Yes;No;Yes;Yes;23;111;121;25000
N.I77464TECH;N.I.C. High Tech;SMB;Consumer Product;Italy;current customer;Big;1 Month;ERP;Manager Level;No;No;Yes;No;13;69;46;34000
JAS82044TERS;Jaspers Computers;Enterprise;Apparel;Italy;prior customer;Large;1 Year;Portal;C-Level;Yes;Yes;Yes;Yes;11;206;105;45000
COM71611GMBH;CompuMax GmbH;Enterprise;Retail;France;prior customer;Huge;1 Month;Identity Server;C-Level;Yes;No;Yes;Yes;22;160;5;68000
PC-69710T KG;PC-World Stuttgart KG;SMB;Retail;UK;prospect;Huge;1 Month;ERP;Individual Contributor Level;Yes;Yes;Yes;Yes;21;108;137;20000
S.C70328CTRO;S.C.T. Electro;Fortune500;Finserv;China;current customer;Huge;1 Year;Web Server;C-Level;No;Yes;Yes;Yes;24;522;97;124000
BIT30003RKET;Bit Market;SMB;Finserv;Japan;prior customer;Small;2 Years;Web Server;Individual Contributor Level;Yes;Yes;No;Yes;12;131;108;43000
HTG81172GMBH;HTG Komponente GmbH;Enterprise;Goods;Russia;prior customer;Big;1 Year;Security;C-Level;No;Yes;No;Yes;25;144;118;62000
MOT88037GMBH;Motomarkt Heidelberg GmbH;Fortune500;Consumer Product;Italy;prior customer;Large;6 Months;CRM;C-Level;Yes;No;Yes;No;3;126;137;35000
NAP21558PORT;Napoli Export;Enterprise;High tech;Brazil;prior customer;Medium;6 Months;Security;Manager Level;No;Yes;No;Yes;21;85;98;62000
JAS31452G CO;Jashanmal International Trading Co;SMB;Goods;Germany;prospect;Big;1 Month;CRM;Manager Level;Yes;Yes;Yes;Yes;23;106;37;29000
ADE92275M SA;Adecom SA;Fortune500;Healthcare;North America;current customer;Huge;1 Year;Web Server;C-Level;Yes;Yes;No;No;20;351;192;170000
BER64251N SA;Bernardin SA;Enterprise;Apparel;China;prior customer;Big;1 Year;CRM;Manager Level;Yes;No;No;Yes;22;79;61;58000
MIL78858LTD.;Miller & Son Trading Ltd.;Enterprise;Healthcare;Japan;prior customer;Small;6 Months;Portal;Manager Level;Yes;Yes;No;Yes;18;280;76;60000
NOR87383ROUP;Norwegian Import & Export Group;Enterprise;Consumer Product;France;prior customer;Large;18 Months;ERP;Manager Level;No;Yes;Yes;No;24;240;90;55000
IND66170INC.;Industrial Supplies Inc.;SMB;Goods;North America;prospect;Big;6 Months;Identity Server;Individual Contributor Level;Yes;Yes;Yes;Yes;10;23;19;50000
LIV32141INC.;Live Insurance Inc.;Fortune500;Manufacturing;China;prospect;Large;1 Year;CRM;Individual Contributor Level;Yes;No;Yes;No;22;116;35;44000
DAV16050STEM;Davis Integration System;Fortune500;Retail;Italy;current customer;Medium;1 Year;Identity Server;C-Level;No;No;No;Yes;29;168;26;150000
INS25965PANY;Insurance Company;Fortune500;Construction;Japan;current customer;Huge;1 Year;Analytics;C-Level;Yes;No;Yes;No;40;263;101;179000
PRI30064NTER;Princeton Health Center;SMB;Retail;North America;prospect;Big;1 Month;Security;C-Level;No;No;Yes;Yes;17;130;27;26000
CAN92793LOGY;Candid International Technology;Enterprise;Consumer Product;UK;prior customer;Medium;1 Year;CRM;Individual Contributor Level;Yes;Yes;Yes;No;12;289;90;59000
C-T39580CORP;C-Tech Corp;SMB;Goods;Brazil;prior customer;Medium;18 Months;Identity Server;Manager Level;Yes;No;No;Yes;25;22;44;43000
MAF28073ORP.;Mafor Software Service Corp.;SMB;Construction;France;prospect;Medium;6 Months;Portal;Individual Contributor Level;No;No;Yes;Yes;22;82;66;24000
CRO88794TING;Cross Worlds Consulting;Enterprise;Consumer Product;India;current customer;Huge;1 Year;Web Server;C-Level;No;No;No;Yes;22;530;151;132000
AND15986 INC;Andyna and Dynana Laboratories Inc;Enterprise;Construction;Germany;prospect;Medium;6 Months;Identity Server;C-Level;Yes;Yes;No;Yes;24;56;111;58000
PAL28883INC.;Palo Alto Airways Inc.;Enterprise;Consumer Product;Japan;current customer;Small;1 Month;Identity Server;Manager Level;Yes;No;Yes;Yes;23;67;154;44000
HOT13968VIDA;Hotel Alfonso Del Vida;Fortune500;Finserv;India;prior customer;Large;2 Years;ERP;C-Level;No;Yes;No;Yes;18;135;127;71000
LA 16751WERS;La Quinta Hotel & Towers;Fortune500;Retail;Brazil;current customer;Huge;1 Year;Application Server;C-Level;No;No;Yes;Yes;34;372;37;132000
ROG98862T YY;Rogier Golf Resort YY;Enterprise;Finserv;Germany;prior customer;Large;2 Years;ERP;C-Level;Yes;Yes;Yes;No;12;190;55;47000
PAR34861 SPA;Park Lane Hotel And Spa;Enterprise;Finserv;Brazil;prior customer;Big;1 Year;CRM;C-Level;Yes;No;Yes;No;29;231;24;39000
MED62401TORE;Media Store;SMB;Retail;Russia;prospect;Small;6 Months;CRM;C-Level;Yes;Yes;Yes;No;7;33;58;14000
ADC99300UTER;ADCOM COMPUTER;Enterprise;High tech;Japan;prior customer;Small;6 Months;Security;C-Level;No;Yes;No;No;26;78;46;61000
ALP24000NTER;ALPHA Center;Fortune500;Construction;Brazil;current customer;Small;1 Year;ERP;C-Level;Yes;No;No;No;17;227;96;140000
TID90001NICS;Tidemann Electronics;SMB;Goods;Germany;current customer;Huge;1 Year;Web Server;Individual Contributor Level;Yes;No;Yes;Yes;8;127;32;24000
KET80726GIES;Ketiv Technologies;Fortune500;High tech;Germany;current customer;Small;1 Year;CRM;C-Level;No;Yes;Yes;Yes;32;325;192;142000
HOT61163CING;Hotshot Racing;Enterprise;Finserv;Italy;prospect;Small;18 Months;ERP;C-Level;Yes;Yes;Yes;Yes;26;201;62;51000
TOR52098ORTS;Tornado Motorsports;Enterprise;Finserv;Brazil;prospect;Small;2 Years;Application Server;Individual Contributor Level;No;No;No;No;17;299;115;65000
COM37107INC.;Computer Specialists Inc.;SMB;Healthcare;Germany;current customer;Large;6 Months;Identity Server;Manager Level;No;Yes;No;Yes;20;41;66;30000
LES27064PANY;LES Sales Company;Fortune500;Goods;UK;current customer;Large;1 Year;Web Server;C-Level;Yes;Yes;Yes;No;21;427;111;162000
CAN56355LOGY;Candid International Technology;Fortune500;High tech;Russia;current customer;Medium;1 Year;Identity Server;C-Level;Yes;No;No;No;44;316;25;128000
PH 82212TION;PH Monitor Corporation;SMB;Construction;China;prospect;Medium;1 Month;Application Server;Manager Level;No;Yes;No;No;6;148;68;25000
CCS29939RIAL;CCS Industrial;Enterprise;Finserv;Japan;prior customer;Small;1 Month;ERP;Manager Level;No;No;No;Yes;17;65;58;45000
NOR53407 LTD;North Energy Ltd;Enterprise;Manufacturing;Germany;current customer;Medium;1 Year;Analytics;C-Level;Yes;Yes;Yes;No;27;505;50;142000
WAL87515TION;Wallace Distribution;Fortune500;Healthcare;France;current customer;Medium;1 Year;Analytics;Individual Contributor Level;No;No;No;No;16;22;30;36000
POW59797PANY;Powers & Company;SMB;Consumer Product;Russia;prior customer;Large;6 Months;Identity Server;Manager Level;Yes;Yes;No;Yes;18;134;24;45000
COM98105ATED;Company World Incorporated;SMB;High tech;North America;prior customer;Medium;1 Year;Security;C-Level;Yes;No;Yes;No;5;84;70;44000
COM81429TECH;Compu Tech;SMB;High tech;India;prospect;Big;6 Months;Portal;Manager Level;Yes;No;Yes;Yes;7;101;78;23000
ALE84811INC.;Alexander Inc.;Fortune500;Healthcare;Japan;current customer;Huge;1 Year;Analytics;C-Level;No;Yes;Yes;Yes;38;274;150;132000
KAR81646MITH;Karl Smith;SMB;Goods;Russia;prospect;Small;1 Month;Identity Server;Individual Contributor Level;No;No;Yes;Yes;27;73;152;36000
HAL68917GMBH;Hallmann Anlagenbau GmbH;Fortune500;Goods;France;current customer;Large;1 Year;Identity Server;C-Level;Yes;No;No;No;27;508;130;150000
RIW83187TERS;RIWA Headquarters;SMB;Finserv;UK;current customer;Large;1 Month;ERP;Individual Contributor Level;No;Yes;No;Yes;2;138;151;27000
RIW30425NTON;RIWA Regional Storage Trenton;SMB;Manufacturing;China;prospect;Small;18 Months;Web Server;Manager Level;Yes;No;Yes;Yes;17;73;113;19000
RIW65589NVER;RIWA Regional Warehouse Denver;SMB;Finserv;North America;prospect;Huge;18 Months;CRM;Individual Contributor Level;No;No;Yes;Yes;21;20;62;33000
INU47722S.A.;Inustrias Pacificas S.A.;Enterprise;Construction;North America;prior customer;Big;18 Months;Application Server;C-Level;No;Yes;Yes;Yes;19;93;113;75000
FLA72332E AG;Flatter & Asche AG;Enterprise;Retail;India;prior customer;Large;1 Year;Application Server;Manager Level;No;No;Yes;No;5;137;88;54000
JOH98705YLOR;John Taylor;SMB;Finserv;Russia;current customer;Medium;2 Years;Analytics;C-Level;Yes;Yes;No;No;5;236;40;66000
ZUB82650R AG;Zuber AG;Enterprise;High tech;India;prior customer;Small;6 Months;Security;C-Level;Yes;Yes;No;Yes;9;219;71;52000
FEU34976G AG;Feuerwehr Tuning AG;Fortune500;Manufacturing;UK;prospect;Huge;6 Months;Identity Server;Individual Contributor Level;Yes;No;No;No;21;136;143;39000
WAL81665GMBH;Walther Maschinenbau GmbH;Enterprise;Construction;India;prior customer;Small;1 Month;Analytics;Manager Level;No;Yes;No;Yes;5;95;12;56000
SCH39145WEHR;Schnelle Feuerwehr;SMB;High tech;India;current customer;Small;1 Year;ERP;C-Level;No;No;No;No;15;368;76;171000
EIN93877UNDE;Einmalkunde;Fortune500;Goods;Italy;prior customer;Huge;6 Months;Database;Manager Level;No;No;No;Yes;15;88;40;30000
PR 34046ANCE;PR Electronics France;Enterprise;Construction;Italy;prior customer;Small;1 Year;ERP;Manager Level;No;No;Yes;No;29;113;55;45000
GLO76963 PLC;Global Industries PLC;SMB;Retail;China;prospect;Huge;1 Month;Identity Server;C-Level;No;No;No;Yes;13;100;60;28000
GLO27630 PLC;Global Technologies PLC;Fortune500;High tech;Italy;current customer;Small;1 Year;Web Server;C-Level;Yes;Yes;Yes;Yes;16;214;42;95000
THE86762INC.;The Wine Consignee Inc.;Fortune500;High tech;France;prospect;Huge;1 Year;CRM;Individual Contributor Level;No;Yes;Yes;No;6;22;15;17000
IDE30274INC.;IDES US Inc.;Fortune500;High tech;India;current customer;Huge;1 Year;Analytics;C-Level;Yes;No;Yes;Yes;16;200;53;113000
WAL56981MART;Wal-Mart;Enterprise;High tech;North America;prior customer;Large;6 Months;CRM;C-Level;No;Yes;No;Yes;12;116;52;41000
IDO55645ORES;IDONWANAPAY  Stores;Fortune500;Consumer Product;Brazil;prospect;Big;6 Months;Identity Server;Manager Level;No;Yes;No;No;10;149;70;42000
SUP61449MART;Super-Mart;SMB;High tech;India;prior customer;Big;1 Month;Application Server;Manager Level;No;No;No;No;16;37;14;20000
KRO48471SENS;Krogertsens;Enterprise;Healthcare;France;current customer;Big;6 Months;Security;Manager Level;No;No;Yes;No;6;128;107;41000
KRO36371SENS;Krogertsens;Enterprise;Goods;Italy;prospect;Big;1 Month;Database;Manager Level;No;Yes;Yes;Yes;17;170;45;65000
MAM79755ANLI;Mamoun Darkazanli;SMB;Healthcare;North America;prior customer;Big;6 Months;Database;Manager Level;Yes;Yes;Yes;No;11;106;55;23000
SOF86096OUSE;Software Warehouse;Enterprise;Healthcare;Japan;prior customer;Medium;1 Year;ERP;Manager Level;Yes;Yes;Yes;No;27;211;121;46000
BUY88450ITED;Buying Unlimited;Fortune500;Healthcare;China;current customer;Big;1 Year;Analytics;C-Level;No;Yes;No;No;39;310;94;191000
GOU20834RKET;Gourmet Market;Enterprise;Goods;India;prior customer;Huge;6 Months;Portal;C-Level;Yes;No;Yes;Yes;23;242;126;64000
MUS10317UNDE;Muster Kunde;SMB;High tech;UK;current customer;Large;1 Year;Portal;C-Level;Yes;Yes;No;No;18;272;142;135000
CLI69243TE 2;Cliente 2;Fortune500;Finserv;India;current customer;Large;1 Year;Analytics;C-Level;Yes;No;No;Yes;49;313;102;140000
HAV10267INC.;Havers  Inc.;Enterprise;Healthcare;Italy;prior customer;Large;1 Month;Portal;C-Level;Yes;Yes;No;No;21;271;64;60000
REM61736TORE;REMA Superstore;Enterprise;Construction;France;prior customer;Huge;18 Months;Portal;Manager Level;No;Yes;Yes;No;17;288;142;72000
01M68817TORE;01Megastore;Enterprise;Consumer Product;Brazil;prospect;Big;18 Months;Analytics;Individual Contributor Level;No;No;No;Yes;18;70;31;44000
06M14423TORE;06MegaStore;Fortune500;Finserv;India;current customer;Huge;1 Year;Portal;C-Level;Yes;No;Yes;Yes;35;348;183;162000
CAR45299EDIT;Carmella Credit;SMB;Construction;Russia;prior customer;Huge;18 Months;Identity Server;Individual Contributor Level;No;Yes;Yes;Yes;3;52;86;17000
HAV80498 INC;Havers Inc;Enterprise;Consumer Product;Japan;prior customer;Small;1 Year;Database;Individual Contributor Level;Yes;No;No;No;26;150;19;66000
CIL76877TECH;Cilox HiTech;Enterprise;Finserv;Japan;prior customer;Medium;1 Month;Portal;C-Level;Yes;Yes;No;No;20;63;50;39000
COM64286TEMS;Computer Systems;Fortune500;Finserv;Japan;current customer;Big;1 Year;Database;C-Level;No;Yes;No;No;34;256;171;161000
ANT72814OLIS;Antipolis;Fortune500;Goods;China;prospect;Large;18 Months;CRM;C-Level;Yes;Yes;No;Yes;6;56;17;39000
PRA13312LLER;Praxis Dr. M³ller;Enterprise;Healthcare;China;prospect;Huge;2 Years;Application Server;Manager Level;No;Yes;Yes;No;11;176;114;56000
PRA37337SING;Praxis Dr. Ernst & Dr. Weissing;Enterprise;Finserv;Brazil;prior customer;Large;18 Months;Application Server;C-Level;No;No;Yes;Yes;26;146;32;73000
PRA66995 ROT;Praxis Dr. Rot;Fortune500;High tech;Japan;current customer;Large;1 Year;Web Server;C-Level;Yes;Yes;Yes;No;45;234;200;156000
REM21005BURG;REMA WH Regensburg;Enterprise;Retail;Russia;prior customer;Big;6 Months;Security;Individual Contributor Level;No;No;Yes;Yes;12;261;60;75000
ERN97677N KG;Ernst Brinkmann KG;SMB;Goods;Japan;prior customer;Large;1 Year;Portal;Manager Level;No;No;No;Yes;22;85;68;66000
BUI39394EPOT;Builders Depot;SMB;Consumer Product;North America;prospect;Large;2 Years;Web Server;C-Level;No;Yes;Yes;Yes;28;244;82;49000
CLI37742RIES;Clinton Industries;Enterprise;Goods;Italy;prior customer;Big;1 Month;Application Server;C-Level;No;No;Yes;No;10;53;113;60000
THO81260ISES;Thornbury Enterprises;SMB;Finserv;Japan;prospect;Large;1 Month;ERP;Manager Level;Yes;No;No;Yes;6;28;128;48000
AME36035PANY;American Security Company;Enterprise;High tech;France;current customer;Large;2 Years;CRM;Manager Level;Yes;No;No;Yes;17;239;115;66000
WEB88972UDIO;Web Design Studio;SMB;Manufacturing;Japan;prospect;Big;1 Month;Web Server;Individual Contributor Level;Yes;Yes;No;No;8;75;38;38000
TIT85817RING;Titan Manufacturing;SMB;Healthcare;Japan;prior customer;Small;1 Month;Application Server;C-Level;Yes;Yes;No;Yes;26;111;136;47000
HOL44512ATES;Holden & Associates;Enterprise;Manufacturing;Russia;prior customer;Huge;6 Months;CRM;C-Level;No;No;Yes;No;7;134;87;43000
MIL93355LTON;Milton & Milton;Enterprise;Manufacturing;China;prior customer;Large;1 Month;Application Server;Manager Level;No;Yes;Yes;No;24;270;141;47000
BRI39445 INC;Brighton Inc;Enterprise;Apparel;Italy;prior customer;Small;1 Month;Database;Manager Level;No;No;Yes;Yes;22;241;27;64000
SUN46080 INC;Sunburst Inc;SMB;Healthcare;Japan;current customer;Big;2 Years;Analytics;Individual Contributor Level;Yes;No;No;Yes;2;146;93;36000
MAT93109TRAX;Matrax;Enterprise;Construction;North America;prior customer;Medium;6 Months;Security;C-Level;Yes;Yes;No;Yes;23;137;113;72000
JMA78071MART;JMart;Enterprise;Goods;China;current customer;Small;2 Years;ERP;Manager Level;No;Yes;No;No;23;133;94;50000
INN37402INC.;Innovative Systems Inc.;Enterprise;High tech;India;prior customer;Big;1 Year;ERP;Manager Level;Yes;Yes;Yes;Yes;14;244;97;68000
HAL65063RING;Hall Manufacturing;SMB;Construction;Italy;prospect;Medium;6 Months;ERP;Manager Level;Yes;Yes;No;No;30;135;130;50000
REM727541010;Rema Store 1010;Enterprise;Goods;Germany;prior customer;Huge;1 Year;Security;Manager Level;Yes;No;Yes;Yes;7;144;126;44000
JIM178311026;Jim┤s Mart 1026;SMB;Goods;Japan;prior customer;Large;1 Year;Security;Manager Level;No;Yes;No;Yes;10;138;139;33000
FRE76063LLER;Fred Miller;SMB;Healthcare;Brazil;prior customer;Small;18 Months;Portal;Manager Level;Yes;Yes;No;Yes;25;78;11;37000
VNE38439VNET;vNet;SMB;Consumer Product;India;prospect;Medium;6 Months;ERP;Manager Level;No;Yes;Yes;Yes;9;63;37;50000
DAT20026ORP.;Data Corp.;Fortune500;Finserv;North America;current customer;Large;1 Year;Identity Server;C-Level;Yes;No;No;No;45;272;86;134000
SEC71975URCE;Second Source;Fortune500;Retail;Japan;current customer;Large;1 Year;Portal;C-Level;No;No;Yes;No;46;421;139;173000
XNE34427XNET;xNET;SMB;Retail;India;prospect;Small;6 Months;Security;Manager Level;No;No;Yes;No;2;100;34;19000
WOR89363INC.;World PC Inc.;SMB;Finserv;North America;current customer;Small;18 Months;Database;Individual Contributor Level;Yes;No;No;No;2;29;113;41000
TOW82992PANY;Townsend Company;SMB;Apparel;China;prospect;Large;6 Months;Application Server;C-Level;Yes;Yes;Yes;Yes;25;98;120;12000
AVN17334NICS;Avnet Electronics;SMB;Goods;France;prospect;Huge;18 Months;Portal;C-Level;No;No;Yes;No;28;39;9;27000
EC 35383ISES;EC Enterprises;SMB;Finserv;Japan;prior customer;Small;1 Month;Web Server;Individual Contributor Level;Yes;No;Yes;Yes;3;61;93;19000
MIC94328WELL;Microwell;Enterprise;Manufacturing;Germany;prior customer;Large;2 Years;Analytics;C-Level;No;Yes;Yes;No;24;186;125;39000
IND11114IQUE;Industrie Dynamique;Fortune500;Construction;India;current customer;Medium;1 Year;Analytics;C-Level;No;Yes;Yes;Yes;23;308;102;144000
ABI71703CORP;Abidon Corp;SMB;Finserv;France;current customer;Huge;18 Months;Database;Manager Level;No;No;No;No;19;29;144;21000
GRE49122RISE;Greentree Enterprise;SMB;Retail;China;prospect;Medium;6 Months;CRM;C-Level;Yes;No;Yes;No;31;15;85;32000
TIM57567TION;Timco Corporation;SMB;Finserv;China;prospect;Large;2 Years;Portal;Manager Level;Yes;No;No;Yes;21;53;23;25000
RAW64238ROUP;Rawlings Group;Enterprise;Healthcare;North America;prior customer;Small;2 Years;Database;Manager Level;Yes;No;No;Yes;8;188;19;43000
LAN79742CORP;Landstar Corp;Enterprise;Apparel;Germany;prospect;Small;6 Months;Analytics;Manager Level;No;Yes;No;No;12;109;13;64000
